,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,505.5,25.225,505.5,19.538,505.5,23.634,505.5,27,505.5,23.711,505.5,19.212
,508.5,25.225,508.5,19.402,508.5,23.557,508.5,26.85,508.5,23.737,508.5,19.266
,511.5,25.2,511.5,19.402,511.5,23.454,511.5,26.7,511.5,23.737,511.5,19.293
,514.5,25.2,514.5,19.701,514.5,23.325,514.5,26.525,514.5,23.737,514.5,19.348
,517.5,25.175,517.5,20.077,517.5,23.144,517.5,26.325,517.5,23.763,517.5,19.375
,520.5,25.175,520.5,20.412,520.5,22.99,520.5,26.125,520.5,23.789,520.5,19.457
,523.5,25.175,523.5,20.67,523.5,22.809,523.5,25.925,523.5,23.814,523.5,19.484
,526.5,25.175,526.5,20.851,526.5,22.603,526.5,25.7,526.5,23.84,526.5,19.538
,529.5,25.175,529.5,21.005,529.5,22.397,529.5,25.475,529.5,23.866,529.5,19.592
,532.5,25.15,532.5,21.134,532.5,22.217,532.5,25.225,532.5,23.892,532.5,19.62
,535.5,25.15,535.5,21.263,535.5,22.01,535.5,24.974,535.5,23.918,535.5,19.674
,538.5,25.125,538.5,21.34,538.5,21.83,538.5,24.717,538.5,23.918,538.5,19.728
,541.5,25.125,541.5,21.469,541.5,21.65,541.5,24.433,541.5,23.918,541.5,19.755
,544.5,25.125,544.5,21.546,544.5,21.495,544.5,24.175,544.5,23.943,544.5,19.81
,547.5,25.125,547.5,21.624,547.5,21.314,547.5,23.892,547.5,23.969,547.5,19.837
,550.5,25.125,550.5,21.624,550.5,21.16,550.5,23.608,550.5,24.021,550.5,19.891
,553.5,25.1,553.5,21.521,553.5,21.005,553.5,23.325,553.5,24.021,553.5,19.918
,556.5,25.075,556.5,21.34,556.5,20.851,556.5,23.067,556.5,24.046,556.5,19.946
,559.5,25.05,559.5,21.108,559.5,20.747,559.5,22.784,559.5,24.021,559.5,19.946
